Feature,Importance
Open,0.7213371640026076
Low,0.11288510709035514
SMA_200,0.06019277148068228
High,0.038148708501932554
EMA_12,0.02572968927919558
SMA_20,0.014406236997949507
SMA_100,0.01292609837551132
EMA_26,0.008524052288256902
SMA_50,0.0055541243689382295
MACD,7.195118018540218e-05
BB_Position,6.012804000292614e-05
Volatility_20,4.1775373421455906e-05
Stochastic_K,3.263976692993298e-05
RSI,2.9388375795784516e-05
ATR,2.01965536171493e-05
Momentum_10,1.6980256332362973e-05
Daily_Return,1.0736647257350968e-05
Volume,6.384755866855888e-06
Volume_Ratio,5.866665161670382e-06
